27450168,22150080,163877409
49912439,163877409,23702397
104871512,163877409,494696880
219855843,24490384,23702397
217984518,41511637,130176159
25844958,18721502,23702397
40961474,10876852,17652777
41554056,14372486,23654341
24391888,368898559,16202733
37838964,14227046,40164390
40164390,14227046,37838964
518304539,445348992,8051992
368898559,24391888,16202733
191793302,285708672,10418002
7768572,16827173,37461389
233582757,31812497,11268812
19946977,50393960,19029137
14618151,177310174,14208982
38303040,13613292,19802879
161445523,49089235,11268812
35432131,3829151,27475761
127625661,407259902,75829996
281765007,44312605,63135128
165498547,44473103,196429355
463410501,193076197,48108211
137117427,310687757,39689218
41077970,17596622,783214,29541278
115689109,16245822,18020120,16878156
17918545,32372834,14505838,11348282
487490604,40981798,176566242,43003845
25904560,144278115,26161908,35701370
14277953,6015992,15870918,7846
263428086,39385465,119706594,25521487
39301578,18732790,289074893,15343773
544021292,289074893,18732790,15666380
106946954,407977463,177345928,141664648
110203696,17454419,62760327,30972802
62760327,110203696,17454419,30972802
207295158,232466063,254661739,544021292
17454419,110203696,62760327,30972802
133365025,25521487,69367470,21404171
73967551,16317523,14313515,12137242
25182745,345510139,28160126,176264731
69367470,25521487,21404171,133365025
23864240,16317523,17506145,357571358
298922614,100662198,36148717,18967190
501303192,53834054,459602372,19618527
313041716,240808681,366369674,252102135
148842957,19735580,90959399,88763317
137244057,34022116,22977151,385086330
19136145,65289126,17092592,17093617
234150393,281670654,242479442,5162861
519888305,38108292,8634422,185433686
21105227,117620953,51671312,15134782
23822236,65525881,17093617,2172
218653398,22679419,18927441,17093617
151023922,1183041,783214,2172
69393657,17093617,10067152,17758399
49877641,41805218,17490664,29430034
96802431,103358556,58285069,47714961
29596364,15485441,7846,15901190
52087269,24447643,24447643,20010173
135108148,87568396,51533511,211407715
60108571,60178856,31524920,31530624
227818754,20993292,15485441,41692369
369252603,28482819,309120192,117177831
394164431,501037786,14230524,77941263
362767615,130721379,16688083,361553652
19137828,15224867,14230524,428333
34798068,268439864,58528137,110307632
427131823,236515365,428333,35787166
488648844,28706024,28207101,28208983
32263651,813286,428333,14230524
31055544,16688083,82455213,202623127
224285242,44873497,117839957,15361570
190386658,356978838,123086738,361553652
373653008,254114586,146593500,318107781
19525253,43292851,14654965,15853668
108188524,228759062,106759256,250151978
106759256,108188524,228759062,94414805
23157623,85344207,382695951,16473060
20336170,65289126,105355094,47787563
142428571,1183041,7861312,126881128
175642610,38517589,1979391,539183579
23497263,85344207,16473060,89364267
171375071,52934175,59855378,18890465
147287586,18890465,14464369,16473060
330314403,90084099,20728561,35369214
521112781,294854135,532562821,292915903
131482972,180463340,330314403,35369214
260535804,17919972,37608930,15265990
37861310,65493023,16365318,192227687
372390746,312851220,63616449,121173304
118485022,22462052,16813166,116891378
186655587,29350679,295227803,23636324
113700611,18729020,2779821,36735522
30341519,14607214,17468308,23448745
37502076,14119000,43220601,3379461
26283014,62581962,15149791,14134808
14129531,1183041,2100521,13919072
377030404,16384688,18488014,15456235
350813339,222970566,21506437,16384688
452269248,19577867,13056942,46014227
251221957,27334204,41062276,21506437
351651707,245464662,241642996,18318018
312813790,39271212,269389696,257234051
20054910,18318018,320918701,19289712
46055888,31986700,204941324,190686015
36814258,15456235,18488014,16384688
453151894,19289712,27334204,15456235
22557727,18593276,320918701,23279771
10449682,15582769,14692604,1397311
18809609,18498684,77973675,7282592
1397311,79797834,279720230,10449682
523632806,246481013,29964675,23428171
24705126,14075928,5988062,26792275
304005829,315500463,63485337,166743346
192810121,90420314,201757120,181997542
184867743,18927441,17092592,18927441
116407905,2525131,15568085,17092592
14444256,10671602,47142133,14757104
14163872,17092592,116407905,10671602
332019032,22461427,337262249,90420314
14855932,16658372,15279452,18173624
82471917,14372486,15018214,180505807
48382584,14526343,15251260,12736222
14757104,14303746,18927441,14444256
75030755,51263592,327635075,34630995
26089178,110445334,1367531,58379000
71444077,14307764,351023993,258617880
21599145,63809126,259379883,14307764
104166292,111222527,2557521,472032417
472032417,40756537,111222527,342444190
251947597,196443936,53178109,25521487
29891229,25521487,561140117,259379883
551500452,92399954,196844918,436411543
24807336,214933205,454573774,27519410
289124374,196844918,43033695,348230745
137029829,51263592,2557521,58975906
410366537,40524721,200168157,25535699
38194359,27491877,26150238,27716060
33621054,15039065,22461427,27022632
374670902,32918169,141301327,378194115
110727546,169693203,40582692,36669110
26747930,250831586,63083786,342530129
40806063,20985527,130681675,25837899
451187261,59702336,280283346,169693203
242587038,414415556,326371495,210874708
162175006,39502332,18194219,228850838
141301327,20545055,36117822,548567202
32918169,36117822,374670902,20985527
20545055,36117822,109081861,15809249
116351673,222477210,20545055,256808322
102711866,21044272,169693203,266082087
115220819,284422688,176562658,82030021
23922771,21414225,47892081,47484264
87934161,262949403,14119053,10269192
11101342,15731225,17374293,22301259
129856494,40981798,43003845,55387080
71123461,55387080,129856494,103482949
140204841,129939387,271684026,216444984
245964322,23565536,26585095,17093617
26369893,23622564,132943620,15175368
20630639,129939387,271684026,15175368
294200297,41338503,41338503,26585095
298052506,264398399,264398399,26585095
15778412,15473390,20031977,16650268
18434100,19739150,14487660,19016569
21149090,20031977,40981798,27622895
30284545,50515656,75206471,48672487
48187029,19683967,9730472,36382095
22543242,21955058,16650268,40981798
2760381,19016569,27823948,24766630
37532078,14487660,19001775,19016569
15473390,20031977,16650268,15778412
28239474,24766630,19768193,21955058
329089384,7174972,252980042,266519788
92615922,11348282,8161232,16029780
162479780,134464629,56377143,8279892
39957797,20303544,1652541,742143
257921349,20836794,1435461,90636410
394704159,11211372,51075705,280515903
92971688,74291526,134059398,19534433
217738273,67660628,34242979,103865085
55406140,17879050,31353077,404565458
39177632,88127695,262045931,35617065
25892360,36301775,36884179,29295486
21458313,29295486,36884179,25892360
147516862,34068984,20471349,35773559
64170932,35399002,332243919,74434739
74434739,35399002,64170932,332243919
501468142,57152094,375051201,359791673
22321235,19164824,90420314,13215132
27291431,83955385,15234657,90957491
179262051,66249982,17229183,19096593
240073744,14575846,19414296,18817547
404224561,22985309,124059687,819139
21792226,10824382,13461662,35473416
190132819,18817547,40813518,24585498
23545675,176216710,40985167,19292816
13994032,17636405,37570179,14444403
362959360,19237585,24562115,37570179
338628048,304850208,46184699,332796514
211438775,188443111,3359851,93885127
394758301,389528105,387114774,153275437
349267841,384452872,307150055,369283865
242779882,279249008,250988604,257184534
13571352,5765422,18136299,21966989
468317904,63485337,27855118,17782068
14461150,14526135,460107942,41084534
90719313,15208837,237829714,450735279
20299704,27855118,17782068,63485337
28110730,35841730,50762495,13557312
157661437,187750684,348610731,164847679
19398602,21966989,27855118,19084990
289759808,268479992,21447363,21447363
79137273,10101462,43666433,16018414
206798573,30035909,35037889,16905302
46787146,89556802,84368747,7517222
16458102,57391600,57391600,22439422
14056917,8395472,13829462,7249822
10221,13669,11461102,15268048
17652928,14430846,9313022,10221
55028472,6376212,17029324,14338572
17001189,26038292,7376382,7249822
26038292,7249822,18393773,17001189
31743758,31360279,13049362,5442012
18627061,16630824,10798802,18393773
104627465,2718241,14269220,5442012
58912623,21394805,5265131,18393601
18393601,23032196,18108742,58912623
130589264,51091919,211213004,50369998
291488176,44166798,176835277,181557953
552355026,319737064,16112634,20397258
79845261,243458307,284679104,21068395
419089697,9938852,369665765,387704429
143149208,291794637,371316958,9938852
109615170,9938852,21556071,243458307
374044303,21068395,9938852,369665765
302859151,16680962,15666380,32498545
23501044,15657647,19405609,14089195
338568597,32498545,9955112,18131947
19405609,14089195,15657647,23501044
354378044,337537112,285888271,316797838
330734811,166466728,463200783,161540088
17689928,16275037,11113,117962496
14227394,648523,20605481,18720595
15396396,375227409,50393960,12925072
375227409,55647338,15396396,386670236
18951206,204361191,63556608,261001122
230555812,14230524,167872022,21054053
546135380,35765232,170712417,34171224
41013738,35765232,24989174,40981798
73999582,283388768,34109686,39164522
71350774,195475105,189898898,86514133
226617318,24989174,8163442,172097332
61706893,115505999,109390923,124634906
42163205,77050501,21054053,21447363
16361412,14176770,17117819,46426258
105554801,18636473,12509262,23053505
18384805,23919657,24670677,18262639
50374602,22207520,91435342,17929653
61452386,21648994,15351031,38172444
80058368,238289713,262090340,108040472
190795855,417200757,280103533,97244635
15086405,17195943,16540939,10194392
8979272,59804598,24885566,24742040
231004001,31608463,151959257,254858221
251260518,10228272,10671602,41436687
229625182,35099519,85008170,130678191
15978225,291361629,254858221,283602905
20731383,17919972,21111883,17587207
546187428,162045075,253167456,327910953
289770406,269485905,327910953,346166142
460002397,73405056,433715649,519907588
448354918,311053794,269485905,253167456
302026963,90970051,301863759,269485905
22747443,36059467,134059398,266464616
108983438,30364057,32494066,30345764
19286391,15846407,26361825,12925072
55376301,17948711,16727535,15485441
22458821,38332498,39730630,36001938
141620953,227064424,116952434,28135572
36001938,22458821,38332498,39730630
38332498,22458821,39730630,36001938
14817081,14803701,22239016,180505807
432557242,45901722,180505807,14622632
67605599,25843787,15439395,5402612
15265179,19394186,22027186,115485051
92352206,107404132,15439395,17020962
138273945,20015311,10380732,22027186
49420408,34442404,44978552,218565522
95383690,15439395,87834758,22027186
271535475,14803701,33488260,107404132
82160486,20015311,22747276,14622632
21001465,66561957,15439395,18774246
113660989,5402612,10228272,24186199
101805057,22027186,44874400,37349209
131351549,18774246,55177823,6539592
104399036,47997436,24770357,115485051
42196681,11879272,32377105,14126162
2154361,115485051,24770357,14126162
15599308,115485051,15270858,15780792
36997518,14606079,17108182,11274452
18990065,14606079,14800270,2384071
21159506,5965332,2384071,47539748
287693117,28882615,4413741,14749070
481519707,78408666,20179628,19112923
76887832,16721886,16331259,20548710
290156391,43832050,62876563,44059221
16320554,96839301,14575846,260137838
27859449,14972350,20548710,34628101
79522130,39873359,17516661,14213577
16551214,17613432,16721886,18248889
198670766,31572616,537855745,243068340
45586373,15853668,20333524,61040299
407455780,16060397,49489028,198670766
70162180,61661424,15853668,14654965
345763664,18927441,18776017,15913
231986055,97225858,97225858,97225858
15686224,15575251,246481013,15112961
426188351,2557521,50004938,299800115
546528985,406651752,249649511,546606007
179002261,338305835,259379883,12925072
437089226,122111980,307652781,281898775
512548692,300536012,407640337,9117202
370184870,304491919,369269293,344398283
35131968,18824222,249649511,13317162
546606007,546528985,406651752,249649511
85936983,48027925,31246649,17565514
40784964,487412249,135272779,177052610
555521357,7861312,22643137,37605913
74577901,62589395,30614676,17602896
177052610,487412249,40784964,16129920
135272779,293722201,89503894,46503181
29393268,7196312,398549793,25752554
83743415,14430479,218730857,20556752
71605964,22643137,555521357,37605913
19137727,96829836,39989606,16157577
56675917,29368258,85787477,93993462
16835474,16157577,39989606,20728488
22098983,88376880,15083812,21591927
202722747,20728488,96829836,18046050
80682452,35625099,27436167,23003843
16851206,21000248,22522178,72907355
20005342,1652541,18223590,16827489
17815591,21045893,20888115,21000248
10891492,33764758,39653167,27436167
121619238,24223183,19397785,80700514
118956693,28425476,6539592,153610726
61041652,15372050,7040932,20455625
117141890,24223183,15180386,115485051
16689804,50393960,277071665,17916175
92918151,23506724,21212730,16044551
21912832,115485051,8161232,14761795
19540483,16689804,8724862,15460048
145933457,95304997,19748371,37030884
14952147,115485051,27587475,50393960
37030884,48634799,17614195,20701075
267880518,22020453,18562064,24567568
71980259,18948541,317370751,32765534
54902828,19635376,125070249,12567072
116717493,9938852,371924684,225233114
21257976,33408821,21556071,21111883
79307905,12925072,422914952,107716111
104572249,16130771,42932436,41384205
42101441,36767299,31331740,15150609
244607700,67980268,104550197,79038984
85300397,51509917,53971402,54384394
70863985,24989174,56225100,293281977
220467509,325937591,21111883,488829734
62052255,263838766,22462180,238260874
243379858,435395478,27788018,445659911
293164275,21556071,23375688,268414482
108481903,7861312,68806619,15249448
17243874,14573389,14213350,15250698
68806619,7861622,7861312,108481903
212228347,73992972,17675120,23102417
30048989,73992972,177388963,16895295
118538652,241847792,8360682,73992972
107515753,73992972,60807974,76987902
122508356,241847792,73992972,170802477
47674653,170082935,73992972,51186735
96851271,26374419,73992972,56363634
21142831,16888233,213849301,73992972
125262712,26892157,73992972,177388963
233303169,73992972,156745991,95260836
163241683,306470925,8360682,73992972
124967126,111052787,123004910,122984251
300321196,66368750,307902310,381559270
200965355,15098289,307902310,116942168
326604798,267694479,328594457,365307259
15723126,14982291,15098289,217360160
59112212,21339114,14446419,319036126
447511925,20274104,17189454,14922225
414631812,14922225,70133674,115717640
189734996,21447363,141116825,26116556
266894776,29216764,76966145,158769098
269004208,102608859,40981798,256940796
21670431,356281451,122439303,37601193
488840114,16453996,91105535,36198161
80873238,15262820,18581803,16453996
140847478,88807478,28037700,35770764
320412792,204980873,294198566,82030021
204282622,369354966,368023694,69403583
168433051,46423291,24150821,34068984
52536349,7860742,17426542,28041772
228448689,52651072,38542252,19663597
28041772,17426542,52536349,35722372
19003859,16464746,14116619,3359851
380041356,85278058,17623957,78453
345518040,61133,17623957,15439395
17213146,43834581,18443018,44496613
15350091,2727051,4833,11661
20642310,11348282,71294756,71294756
17417177,19084034,29932841,27262152
25103967,14848513,42871498,11348282
15691733,759251,428333,14199378
212815868,178388060,60635328,3359851
264953488,90722891,17663756,3359851
99832401,33629690,41553,13531122
23053090,56959597,813286,272558578
208638216,10433782,82158644,42712551
140185547,75214304,47279659,44224195
308530087,308998490,42122356,466919681
42122356,256801056,308530087,308998490
249786104,466919681,191653681,58930815
352018716,119817566,153700539,124285386
317240590,124285386,557333440,389260078
16057725,34747631,7861312,7861622
114669796,29514951,377053611,12464302
174080876,369656317,26276457,169805655
130517144,21366823,159744665,135846430
85452649,166739404,22548403,553700566
59267030,16535953,43815496,12319862
203138105,206084198,197913616,440850596
82473475,14920785,269916429,58528137
269916429,85452649,166739404,82473475
161818484,43815496,12319862,21366823
387290350,276322412,17387667,22436433
15290558,13504092,8358972,19945554
56446865,25583846,62733027,22184329
35233,817113,7591562,36823
19297459,19915325,42712551,8888672
375610757,36900298,7261602,8056522
19007496,47785747,126042901,47787563
7261602,36900298,22857385,375610757
7793902,14230524,16129920,18489148
297591053,316797838,18680478,308522948
465761976,34068984,26286713,16464746
454628506,284174632,27548802,16464746
18473279,15913,235766196,17140787
9823072,19774817,23027648,332393820
392385733,309122206,344459925,188790384
78623673,153048672,150132291,37502238
344459925,309122206,392385733,397599930
551467401,273316919,14685759,312358396
26005689,188790384,18737722,17537067
729303,18731347,8032822,63485337
56603918,14813709,20474834,58920430
15944436,177087369,15958614,15958614
384566763,19271649,33645703,136103238
47586577,119843970,151404942,65047891
323867972,13058232,25521487,12925072
246993264,258203336,24742040,247352819
82868185,51263592,248134334,155927976
18545766,37508790,18776605,37807048
76968739,320730589,24573827,179707847
24573827,76968739,179707847,287834630
264641376,86401810,247962922,401524142
233961330,181579832,257184534,60624741
191642317,194590772,167602116,195811348
331785252,179138862,183075796,302643429
287936948,184106792,181579832,27711339
80081679,23976386,14230524,34312352
43433064,14230524,167602116,71384878
139398875,14230524,302815387,183075796
195811348,167602116,194590772,191642317
71384878,43433064,14230524,167602116
401467424,14230524,310668443,401038174
76479479,56573534,246271258,14230524
25777721,25365536,57711142,38517007
24989476,163379277,26438384,66515918
127680622,59622351,352145373,184994006
70735999,114685387,21327969,111210694
517148938,237985481,65413400,255898485
26171997,38517007,25365536,29323857
14989833,22562425,107804532,93590599
23976543,40644822,25936624,23978861
23218255,27260086,116362700,25365536
23978861,25936624,23976543,40644822
25197377,43655652,20702626,25365536
1337871,16266685,17420846,6514492
427194012,144754289,290152873,259642208
40651141,104811526,20461916,7348632
171451142,266464616,249188812,355009696
424187785,7348632,194130137,27853281
27634854,27129555,27634247,27220046
13377342,126059414,15015467,31493647
300750865,148370559,20990949,300749249
27129555,27220046,27634247,27634854
303365604,188731866,283432386,266464616
431815234,259642208,33842359,290152873
307884169,144754289,448135659,33842359
126059414,13377342,133651512,15015467
235164664,259642208,188731866,144754289
27634247,27220046,27634854,27129555
18672243,133651512,355009696,412973683
54518234,83133004,52987095,39224547
190710346,115436607,74120463,143412386
27220046,27634854,27634247,27129555
68792925,24386008,355009696,266464616
23317240,266464616,188731866,20990949
121098480,144754289,259642208,290152873
83872623,12946892,96072188,24223641
29488579,813286,27687092,21907788
46035359,39816347,40288561,52366782
10285082,813286,14075928,21922584
296523775,19795386,39893705,25891270
83423529,58953169,82811968,21111883
256255640,23375688,21111883,104249727
259591315,56019172,28201743,39893705
342977848,19795386,16331010,19795386
357881363,243440761,21111883,203812638
262907074,19697415,14506253,14824849
33333142,14824849,14506253,32064215
245229537,34741439,262388975,288452305
181790473,175378976,20205471,28149095
64331621,50393960,9460682,24741685
19102410,17190626,28706024,15846407
20163699,57107167,15411998,16643805
14053425,11928542,84193657,14356908
234963367,15846407,14230524,17190626
396221712,27911944,27195114,40511475
17190626,14230524,234963367,19102410
225897154,343108171,318266713,307644441
223391701,18653265,15419775,28851186
327281170,199749964,21436960,22469959
200071076,44364349,5627062,37211517
145573392,148669502,3103641,90636410
344758256,83840298,135918180,92358824
414971773,54923609,103865085,21436960
15534632,179033801,125399010,28317115
34226000,121466759,54923609,35233873
241570550,11348282,15234407,21436960
27919021,54246944,78977078,57437761
254104119,22813738,16186743,123496516
26811248,18982840,36469850,16186743
204468559,121569946,215180009,16890969
118731580,239526649,205995940,190191097
355885978,84672379,21624907,378677314
283739831,31554743,24542441,21624907
56051836,526166165,292823930,91711942
46089482,152889559,61033129,174307074
35597460,37615149,35605415,28869572
19950500,61033129,180463340,381048540
119234519,15485441,44039298,30364057
48878503,19697415,41814169,262856460
33195214,211779213,18123297,136115456
90451164,3359851,14270527,16464746
210526649,10671602,17759701,14270527
48713509,26281970,167553372,261001122
68935970,156489807,10228272,210829718
307654201,38324331,177332689,27165298
38324331,177332689,307654201,37370604
18503757,30489982,14743753,22656693
35514637,17061263,14293310,428333
19178294,30489982,30539818,29977282
28858658,33436693,1064311,9994962
14807869,29977282,19178294,30539818
27597492,30489982,1496911,14743753
15097634,5402612,428333,807095
34060004,29977282,30539818,14825119
34193268,17061263,3420011,428333
18507292,807095,14293310,17061263
5929062,3420011,30539818,11900172
24867633,428333,816653,35472673
17575887,3420011,19501186,22967981
27781131,34576184,428333,58562226
35708296,5402612,33736127,35472673
14798336,16153996,3420011,816653
32370104,21931235,11900172,30539818
19279981,17351189,9994962,17061263
32177437,36412963,30489982,10228272
271567292,144183509,68819171,273168913
160991035,368519250,68819171,271567292
273168913,144183509,271567292,68819171
306883552,385587514,181701688,94621855
368519250,68819171,144183509,160991035
9663492,17870415,17643774,19320328
15028425,126881128,83883736,45919912
131884083,27242126,61819621,10266802
61819621,27242126,32765534,10266802
15666545,15567998,16303106,24008967
388482337,428557294,18776017,15853668
126375323,52361963,144669303,6017542
429733711,401565764,202991265,308911400
40895567,330465479,342229999,18812245
18032936,14779707,15757788,59582398
40108553,14459013,59582398,19300461
56662023,204870137,18817130,24660376
330465479,40895567,342229999,18812245
15034224,14903310,23996836,59414975
90497217,39000244,117948376,164804966
93257977,59630220,151222208,66661590
122481121,123121569,46750407,120208344
17130127,203893499,127545984,39000244
57258645,147228841,39000244,40535570
127545984,66661590,30552541,17130127
311123328,68567671,151222208,357331432
341142328,59630220,375857150,336564384
192664595,546135380,169108031,105351998
69106995,371054607,61352392,109390923
15801891,15150351,18498684,93017945
425101002,59959694,14048809,9321342
2418101,18498684,816653,37570179
52969707,23495493,1864381,39508092
14506505,17232551,23495493,14048809
5699,12,11388132,1113541
382392289,309366491,117306176,43366650
26377373,18628082,148112305,31676365
286155233,356485057,537025728,380602580
337252829,417054878,149945681,262876021
86638839,388041590,306420546,297589557
67134422,38474682,57715335,297589557
58844228,120276532,324127970,487780606
15712812,23832022,813286,193126850
344247103,17275486,23522552,20178500
25299445,85394373,20962569,20506424
45951692,23832022,20545055,4278201
200955473,26288526,25628280,24608151
23407409,813286,24608151,23832022
84404237,142806644,20178500,43193492
27694526,281872249,15809249,30559094
275427916,129902772,73234942,43193492
21385368,70359538,4278201,130682467
23214494,663463,7762622,20218024
20218024,23214494,663463,7415132
18044341,14522546,11178592,14749606
354943567,151060603,18891069,382438066
338180027,36386224,73113170,58697439
49902837,28049508,36386224,22433348
358840898,20240002,96848570,20291791
201972487,188429557,21536880,105008365
24804032,12925072,106354414,22256645
42455153,12319862,807095,16535953
168525858,37082371,45887221,807095
96593097,17076888,176379217,17872874
51560113,15861559,25732138,15862493
40093172,24585498,77007853,17872874
267010828,50427231,29398780,6433472
410324440,29398780,15361389,36819863
61228608,28706024,195882850,21447363
14401698,21442298,14230524,112508240
493280555,125786481,205915163,37836253
462573161,148514778,21681809,452622373
470415292,20609518,348694758,124818259
362262764,74594552,6017542,10194392
40529204,15830701,14968376,137527381
18735040,15101387,77384798,40069772
16845406,74594552,10194392,15086405
173065697,27733615,211283672,73439104
73439104,10194392,6017542,15086405
29508241,59683556,15122944,124818259
80073299,54377889,23135992,59599890
20574199,11522502,15767403,17623957
81135904,11057242,39588492,17241895
19689577,129350208,18122308,17065446
368957382,61903300,19689577,17065446
7884282,19380307,15859268,14372143
32520143,11522502,71133664,100061888
92525197,14176588,13811562,14544190
27049242,77067574,15382901,22207520
19771382,13039372,24773177,22027186
21594127,79797834,17602896,43192807
74500645,17602896,20108560,39811574
21316047,24980246,17446621,26515591
20404252,24014317,15846407,92464299
316019707,15374469,57722096,406797280
378662439,31055544,51219631,26933200
35968564,15846407,20346956,329737792
24014317,37344334,20404252,28999283
307113858,458209143,406706559,512476272
27785451,58833777,16668573,19303107
102819523,66164717,8824902,174533632
63180039,23248754,19630242,25791289
211716446,28433775,242617929,44474671
485135523,91667678,374277982,288075691
31431144,95515846,266367426,19542638
549821948,430418110,91667678,472134458
450822361,24742040,290097288,28125177
335320770,266367426,18222378,95515846
393713558,28125177,90995027,374277982
317885182,22940219,28474662,145809544
532508209,499029727,430418110,356777659
438551734,17696167,18948541,115485051
88363734,68345439,153618334,783214
443556019,259379883,21469563,374277982
539167108,171604056,30364057,18222378
164920212,28706024,22940219,259379883
360974781,46423291,290097288,24742040
39886924,14075928,14528874,15111011
15111011,39886924,31620282,428333
19363078,62581962,16303106,18476766
86194532,148791188,673703,15964660
429725191,510909864,508081417,326926285
129811020,66369181,27311044,15964660
22790881,66369181,6368672,19363078
108724560,39525554,22946048,19668491
273904150,21436609,14868280,82177280
278307204,19471361,19578471,20768844
50815552,52568880,386776603,21436609
14868280,14546784,45026993,15999856
58919084,17522521,181523036,18519668
45026993,14546784,14868280,15250756
18788490,21436609,14409892,20768844
96404035,18575658,6582782,16536180
14327847,72484940,15295809,6582782
19218868,70736039,6582782,16161176
80857339,40167282,16536180,15030793
22706841,44024800,103891265,14327847
260803610,119195682,292102750,27573195
29541858,17092862,23691649,24057172
137174698,22679419,23691649,18119683
333873491,14696525,298402374,7079062
61959300,5053141,205399718,20349464
124849665,65184105,16409285,106873819
16514920,65184105,38682272,139162440
33564659,123574362,5053141,14982315
498037630,60725654,11167502,55656369
18378648,144040563,48485771,5442012
279198769,38070776,272570677,274823472
24744541,92564226,31444568,68440549
31444568,37676258,249165540,19063472
15978226,17663756,15847889,15968371
17637598,12925072,62433943,62581962
32116654,16465507,14874125,20009684
275080429,26373755,18548880,270898230
14208993,18011804,36724820,162775226
16353,203309516,36735522,25715481
234435962,33043297,64251418,25715481
244240726,36735522,15029953,355682031
374099229,13096852,16372635,15070712
15207270,14372486,7400702,816653
26353466,58955252,19621110,813286
14483262,813286,14483347,14905612
27042953,19725644,17697300,17336784
17028405,63257259,16212685,23083404
177259094,17640392,114672186,38789284
162501940,241282494,25107962,145288760
241282494,162501940,125365331,17640392
273147135,25107962,99811494,243768472
56091704,15489348,85715011,65956803
46552931,33681643,13434622,22745779
24040707,80410316,18617802,88376880
28483899,99810173,191583432,65956803
80410316,88376880,24040707,18617802
453613519,254088583,52216611,117177831
299332941,253681548,306023079,277225744
188817926,15227791,122092164,112212106
333733827,319459265,20195073,93231692
498440463,25521487,465754282,422268021
15802049,10810102,14303746,14464369
146290342,322822476,96848570,18927441
210907504,30939530,186275867,51604839
15318882,93733494,34663865,10067152
30799813,25521487,28706024,42080740
18825735,29243781,39552519,195934431
361240468,63485337,24166202,19789046
151081208,34356968,1344951,50393960
26210870,2803191,47465882,1344951
17307429,1344951,36441588,20623926
89518080,717313,47465882,2803191
29723393,14622632,14630319,38018809
41164630,22747276,37792861,14622632
21945208,38018809,22747276,14622632
68004725,404492769,4080761,125847900
241988385,17076049,198654726,125847900
15394633,17076049,4080761,65719763
25092750,10078882,14063949,13687132
275812396,24585498,26280712,64488804
26425354,25521487,22027186,15901190
216825105,77351627,77351627,390622524
44790208,66542823,14075928,34886346
317306340,52863920,69906760,47667972
69906760,52863920,47667972,18319945
27115071,150846769,19923144,18139461
130546532,25928253,14955908,15769327
463318158,14216203,220372716,554839441
185795665,142145802,42818387,100342757
20325023,20325734,20325223,20325540
20325223,20325023,20325734,20325540
20325540,20325223,20325023,20325734
20325734,20325023,20325540,20325223
82220805,21024748,20587191,53144764
265690003,53144764,85321222,175334594
112391041,11018782,2097571,759251
116008383,22462180,34428380,40981798
21833780,21008297,17449315,18725854
21008297,56758031,21833780,20985527
17449315,14711077,20265542,87586376
24737622,21008297,19191229,20985527
93658791,2520921,57660382,30515152
79963310,19466791,33450656,88002901
15571983,18994661,108669948,17997789
36163202,27726303,14378113,17997789
383267303,47336791,60798114,17813135
15407016,79797834,36843988,15492359
44716010,11348282,82853372,43166813
3275481,64349812,50665193,15818391
18049426,10350,17919972,15818391
2545051,3840,17093617,3840
123332545,24154540,40207247,27195114
28801319,31652181,27195114,24966423
555461976,286328448,441105493,253417096
235339771,441105493,3004231,286328448
549632920,441105493,286328448,3004231
553900384,441105493,286328448,253417096
180830113,19562228,286328448,441105493
190040759,19562228,286328448,52551600
39558926,3004231,286328448,256573865
398300892,17503591,441105493,286328448
464694106,3004231,286328448,52551600
402855586,286328448,3004231,253417096
555333688,441105493,286328448,52551600
277471326,253417096,441105493,286328448
402988687,286328448,441105493,3004231
349433170,441105493,3004231,286328448
554965192,286328448,19562228,441105493
555354776,286328448,441105493,253417096
95070702,48737302,20894095,145768294
86265802,15220473,29236490,16432934
17971014,18697941,19083161,20724917
91418218,197594920,16830572,18148466
26841818,15731368,18697941,24626652
311204772,26304714,245220581,299427891
145768294,15087011,170002037,24773177
25511812,52091660,49665926,24626652
16186679,15567619,66369206,20578527
29236490,67418441,16432934,15220473
25094850,378703574,27322618,79797834
360149797,82451567,21315174,175767720
426962281,39767200,302762512,85961526
39998713,1910771,21311706,27641795
84119894,21311706,60625438,85961526
22956502,39998713,1910771,17592789
139500360,22066555,68441962,39767200
118306958,15827434,26183347,49824572
20359867,97566975,14389658,19727381
24245543,54457156,190863352,16674726
223526768,51263592,321990895,43139414
22642626,28165583,2557521,388013412
82252031,21425125,27989761,23678636
40766251,18045966,13160892,53194854
22417361,57729132,18614747,41081280
18210222,430947605,972651,13809612
57375653,15234657,34805698,19413393
209747379,82773255,66231406,23228600
373065123,311091941,143209628,283359505
82773255,23228600,68771300,209747379
53913416,327540067,77271385,342110621
124537079,49588164,180505807,183684289
474243251,143232050,506688854,153841131
18201137,57107167,180505807,112848373
25729606,14944855,16364793,17694164
158272314,115485051,73068829,35936474
119317928,17926257,60201129,15575388
16665516,14954720,24125760,28593358
117093671,40745276,342444190,21255118
39292057,26317797,28755471,33235051
34171480,23763933,22169773,16240253
14123750,28115372,27855118,6017542
104203516,40745276,342444190,21255118
401942249,22090710,46219889,56217756
111054412,49064411,34041607,81704742
61302678,14192900,337903926,167548124
108934418,229848497,158843912,281794551
64043105,359654097,348065048,155317081
29626939,25338609,24700916,21764966
67558633,36289411,54759481,20414217
88706045,14364779,20694533,32453930
17079326,2046991,14685248,14712978
16225240,428333,19397785,17461978
24330631,49829608,54791458,15518965
36289411,15403842,2046991,67558633
